miRNAs	n_geneset	hyper_pval	OR
dme-miR-314-3p	1	0.8234070610767732	0.5801183431952662
dme-miR-985-3p	6	0.45039618092947503	1.1604236343366778
dme-miR-994-3p	3	0.2537432661922341	1.8090608498248038
dme-miR-963-3p	1	0.6978765679597335	0.8496434634974533
dme-miR-4983-5p	0		
dme-miR-4985-5p	3	0.35240266229739114	1.4830644168000986
dme-miR-4955-5p	0		
dme-miR-2489-5p	5	0.09340423299266876	2.2813293330256172
dme-miR-955-3p	4	0.5938577411515994	0.9851676985434947
dme-miR-2497-3p	3	0.382556132872246	1.404781436774874
dme-miR-2c-5p	0		
dme-miR-4951-3p	0		
dme-miR-997-5p	2	0.27917668434254134	2.0039834289356278
dme-miR-9375-5p	0		
dme-miR-278-5p	0		
dme-miR-4977-3p	3	0.08868556304915477	3.063388866314506
dme-miR-9371-5p	1	0.7383026133994588	0.7563525835866262
dme-miR-2490-3p	1	0.7667486627383591	0.6949228611500702
dme-miR-9377-5p	3	0.20903438076312236	2.0134744422017348
dme-miR-2491-5p	4	0.20724638248713959	1.8197097020626432
dme-miR-2495-5p	1	0.6352991426179595	1.0122088353413654
dme-miR-4966-3p	5	0.022880626916157137	3.4883654776127893
dme-miR-4979-3p	2	0.6292710664306471	0.9543726235741445
dme-miR-987-3p	1	0.8363981162917598	0.5547786606129398
dme-miR-954-3p	6	0.005199403104741906	4.400956937799043
dme-miR-4950-3p	3	0.3121714270641476	1.600766486057883
dme-miR-4963-3p	2	0.7432114452937274	0.7590020576131687
dme-miR-4945-5p	4	0.3559837018242401	1.3872320038327943
dme-miR-4919-3p	0		
dme-miR-4965-3p	0		
dme-miR-1003-3p	0		
dme-miR-1004-3p	0		
dme-miR-33-3p	10	0.009802018141489545	2.925520381613183
dme-miR-1014-5p	4	0.18859907973461348	1.8983723699880906
dme-miR-9379-3p	0		
dme-miR-317-5p	0		
dme-miR-92b-5p	1	0.4022667728485645	2.006875
dme-miR-274-3p	7	0.13801249605874827	1.8065747966129835
dme-miR-2a-1-5p	3	0.2504909529258272	1.822360248447205
dme-miR-2501-3p	6	0.000644684384587917	6.806690777576853
dme-miR-137-5p	1	0.7155495708927002	0.8078964401294498
dme-miR-962-3p	0		
dme-miR-252-5p	5	0.15730407057716736	1.898238747553816
dme-miR-4968-3p	0		
dme-miR-5-5p	1	0.7231452489594172	0.7904278922345483
dme-miR-965-5p	0		
dme-miR-1001-5p	0		
dme-miR-954-5p	1	0.5857150897178062	1.1618348623853212
dme-miR-4978-5p	0		
dme-miR-995-5p	0		
dme-miR-4980-3p	0		
dme-miR-981-3p	2	0.5115957655629502	1.197965571205008
dme-miR-978-3p	0		
dme-miR-4913-3p	2	0.3524491317423356	1.6717577706323687
dme-miR-967-3p	5	0.2011149498223308	1.7260405421614489
dme-miR-977-5p	2	0.48752001179071297	1.2561349693251533
dme-miR-989-5p	1	0.5354081803261816	1.3389473684210527
dme-miR-3643-3p	2	0.3118888056810158	1.8420047031158142
dme-miR-8-3p	3	0.3864536228554877	1.3951863354037266
dme-let-7-5p	1	0.3687575380668307	2.2482096069868995
dme-miR-305-5p	1	0.9130912542110461	0.40595744680851065
dme-miR-973-5p	1	0.8188604122397325	0.5890516206482593
dme-miR-968-3p	4	0.19971501821522414	1.8504498914055227
dme-miR-984-5p	0		
dme-miR-997-3p	2	0.22282914206044657	2.3588739746457867
dme-miR-13a-5p	0		
dme-miR-4959-5p	2	0.4934380626369199	1.241504854368932
dme-miR-263b-3p	4	0.08737637093375211	2.594193685102776
dme-miR-1004-5p	4	0.06807856016695693	2.8446343999075894
dme-miR-13b-1-5p	3	0.2613606886420608	1.7787223706582462
dme-miR-9373-5p	10	0.0037432459137662537	3.4302253590886576
dme-miR-4960-3p	1	0.43061125368971587	1.8314285714285714
dme-miR-33-5p	7	0.05540740083654927	2.3278447515436635
dme-miR-274-5p	2	0.544260127209835	1.1242625368731562
dme-miR-281-3p	2	0.15188023584209354	3.053639846743295
dme-miR-4965-5p	1	0.5916222187583411	1.142844243792325
dme-miR-2281-5p	5	0.1055224850885318	2.1891791736149715
dme-miR-4972-5p	0		
dme-miR-9379-5p	1	0.7294196814769025	0.7761993769470406
dme-miR-133-5p	4	0.04878593098852643	3.2014462809917354
dme-miR-317-3p	0		
dme-miR-4943-3p	0		
dme-miR-278-3p	0		
dme-miR-4941-3p	2	0.16652897949244042	2.8751129177958448
dme-miR-3-3p	0		
dme-miR-309-3p	0		
dme-miR-318-3p	0		
dme-miR-966-3p	1	0.3571917485590482	2.341818181818182
dme-miR-2497-5p	3	0.24185714435379907	1.8587336134028445
dme-miR-312-5p	1	0.5719029706050669	1.2076190476190476
dme-miR-1009-3p	4	0.10434198701625823	2.4241098070419733
dme-miR-9381-5p	1	0.380123093999399	2.1616806722689077
dme-miR-9380-3p	2	0.180002196361789	2.7302405498281788
dme-miR-14-3p	0		
dme-miR-2a-3p	2	0.4512166111454402	1.3511826544021024
dme-miR-2b-3p	2	0.4512166111454402	1.3511826544021024
dme-miR-2c-3p	2	0.4512166111454402	1.3511826544021024
dme-miR-5-3p	2	0.444351003984417	1.370284065690191
dme-miR-6-3p	2	0.4600771239709164	1.3270887166236003
dme-miR-11-3p	3	0.1951169640263391	2.0886504799548278
dme-miR-13a-3p	2	0.44297278548888963	1.374165554072096
dme-miR-13b-3p	2	0.44297278548888963	1.374165554072096
dme-miR-308-3p	2	0.4409023119078598	1.3800268096514745
dme-miR-1010-3p	0		
dme-miR-927-5p	1	0.9284576594251721	0.37455696202531646
dme-miR-125-3p	3	0.33562385464550376	1.5301052097857777
dme-miR-4966-5p	1	0.958351188966653	0.30748010610079574
dme-miR-990-3p	2	0.2784323563549408	2.0079821200510857
dme-miR-3642-3p	3	0.33394647701194907	1.5349605898804983
dme-bantam-5p	2	0.669204602901895	0.8827433628318584
dme-miR-4954-3p	1	0.6160338193602639	1.0678224101479916
dme-miR-2500-3p	8	0.06448930039623568	2.1455120601028073
dme-miR-4973-3p	1	0.6557727948807859	0.9561977186311788
dme-miR-932-3p	0		
