miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-miR-315-5p	5	0.9487569761542364	0.61927826094121	0.84935087745523
dme-miR-969-5p	1	1.0516666666666667	0.620497428615039	0.849953660797034
dme-miR-4979-3p	2	0.9543726235741445	0.628796124847309	0.850551639595464
dme-miR-959-5p	1	1.0228803245436104	0.630493875395901	0.85114487106519
dme-miR-281-1-5p	1	1.0164516129032257	0.632764528269952	0.85173341151602
dme-miR-2495-5p	1	1.0122088353413654	0.635021761257213	0.852317316370723
dme-miR-2498-3p	1	1.0101002004008015	0.635771203200653	0.853426900363417
dme-miR-9373-3p	1	1008	0.635771203200653	0.853426900363417
dme-miR-981-5p	2	0.944601381042059	0.636198565052605	0.854041758642623
dme-miR-9385-5p	1	1.0059081836327346	0.636519165348455	0.854607658200093
dme-miR-318-5p	1	0.991496062992126	0.643184693793489	0.855169186564535
dme-miR-375-5p	1	0.9794552529182879	0.647562914238176	0.855726394187933
dme-miR-4962-5p	1	0.9638314176245211	0.651889454556227	0.856785536835449
dme-miR-999-5p	1	0.9676923076923077	0.651889454556227	0.856785536835449
dme-miR-9c-3p	2	0.9118049225159526	0.654736952355739	0.857372585618312
dme-miR-4973-3p	1	0.9561977186311788	0.656164900621363	0.857912999547981
dme-miR-2b-1-5p	2	0.9019253910950662	0.657255309150386	0.858449333685183
dme-miR-124-3p	1	0.9505482041587902	0.657578795391045	0.858981634056113
dme-miR-263a-5p	1	0.9524242424242424	0.658283644654268	0.859993698367618
dme-miR-2a-2-5p	1	0.9505482041587902	0.658283644654268	0.859993698367618
dme-bantam-5p	2	0.8827433628318584	0.6691526254596	0.86055478256416
dme-miR-927-3p	1	0.8907282415630551	0.681435486399825	0.861071394528644
dme-miR-1003-5p	1	0.8650086355785838	0.691801271566181	0.861584192765005
dme-miR-4984-5p	1	0.85419795221843	0.695604190732927	0.862093219348483
