miRNAs	n_geneset	hyper_pval	OR
dme-miR-2501-3p	1	0.5814913983491715	1.1835502735332957
dme-miR-137-5p	0		
dme-miR-962-3p	2	0.20917293200956294	2.4986061330147353
dme-miR-252-5p	5	0.06411176190283063	2.658904109589041
dme-miR-4968-3p	3	0.06730284423498487	3.5359267302426587
dme-miR-5-5p	1	0.6275536565051534	1.040537159062474
dme-miR-965-5p	3	0.057600535755137725	3.783843674456084
dme-miR-1001-5p	2	0.21142994624065492	2.480031633056544
dme-miR-954-5p	1	0.492211068586321	1.5294543698696281
dme-miR-4978-5p	0		
dme-miR-995-5p	0		
dme-miR-4980-3p	1	0.5504533345217048	1.2919872781368626
dme-miR-981-3p	0		
dme-miR-978-3p	0		
dme-miR-4913-3p	1	0.6227512541602587	1.0545746388443018
dme-miR-967-3p	5	0.08581727666855028	2.417716204869857
